unit_id,product_id,store_id,acquisition_date,grade,acquisition_price,status
1,55,3,2024-09-23,A,799.49,Sold
2,11,1,2023-06-30,C,194.46,Sold
3,18,3,2023-03-20,A,507.33,Sold
4,20,2,2022-11-18,B,429.15,In Stock
5,47,3,2025-04-03,B,418.47,Sold
6,35,3,2022-11-30,A,757.19,Sold
7,58,1,2024-12-20,A,872.89,In Stock
8,27,2,2024-10-06,C,263.25,Sold
9,22,2,2025-01-29,B,187.9,Sold
10,36,3,2024-01-13,A,388.4,Sold
11,37,1,2024-08-10,A,367.63,Sold
12,60,2,2025-01-23,B,593.99,In Stock
13,61,1,2025-03-02,D,431.59,Sold
14,6,3,2025-05-23,B,231.31,In Stock
15,34,3,2025-03-03,A,438.87,Sold
16,29,2,2024-10-23,C,265.67,Sold
17,14,1,2024-03-24,A,253.62,Sold
18,66,3,2024-10-15,B,783.45,In Stock
19,68,2,2025-06-24,C,752.81,Sold
20,42,1,2023-04-27,B,684.03,Sold
21,18,2,2025-05-05,B,278.23,Sold
22,58,3,2023-12-08,C,1045.01,Sold
23,1,3,2024-09-26,B,135.08,Sold
24,59,3,2025-04-15,B,519.18,Sold
25,34,2,2024-10-15,C,334.13,Sold
26,35,2,2025-04-04,A,447.66,Sold
27,27,2,2024-03-23,B,378.7,Sold
28,38,1,2024-10-16,A,434.09,Sold
29,56,2,2024-05-23,B,868.4,Sold
30,47,1,2025-01-20,A,495.05,In Stock
31,31,3,2025-01-24,A,465.02,Sold
32,25,2,2025-04-16,C,173.14,Sold
33,34,3,2024-06-29,C,375.83,Sold
34,17,3,2024-07-03,C,226.55,Sold
35,54,3,2024-09-29,C,530.09,Sold
36,37,3,2024-11-18,B,332.91,Sold
37,9,2,2023-08-08,B,370.48,Sold
38,9,3,2023-05-14,A,433.36,Sold
39,65,1,2024-10-09,B,687.22,Sold
40,36,3,2025-07-06,B,246.05,Sold
41,24,3,2024-04-27,A,358.6,Sold
42,36,1,2022-11-11,C,459.32,Sold
43,44,1,2023-08-06,B,852.62,Sold
44,57,1,2025-01-06,A,804.03,Sold
45,9,3,2023-08-24,B,340.98,Sold
46,69,3,2024-10-27,A,956.34,Sold
47,3,1,2023-04-10,C,183.91,Sold
48,5,2,2023-06-07,A,332.95,Sold
49,35,2,2023-04-11,C,506.58,Sold
50,41,2,2025-05-23,B,403.41,Sold
51,38,3,2023-12-07,A,523.9,Sold
52,1,2,2024-01-06,B,160.17,Sold
53,58,2,2023-12-10,B,1269.61,Sold
54,18,2,2022-11-05,B,464.29,Sold
55,42,2,2023-04-10,A,806.77,Sold
56,65,1,2025-05-04,D,414.84,Sold
57,71,3,2025-01-02,C,919.72,Sold
58,42,2,2024-12-09,B,390.49,In Stock
59,55,1,2025-03-14,B,647.33,In Stock
60,47,2,2024-01-07,B,566.3,Sold
61,56,2,2023-09-26,B,980.63,Sold
62,49,3,2025-03-24,B,567.3,Sold
63,55,2,2024-09-30,A,853.41,Sold
64,24,2,2023-03-08,C,332.46,Sold
65,26,2,2023-09-14,A,365.06,Sold
66,41,2,2024-10-25,B,427.92,In Stock
67,15,3,2023-09-21,B,291.08,Sold
68,41,1,2025-07-19,A,436.7,In Stock
69,49,2,2024-02-16,A,795.33,In Stock
70,28,3,2025-04-16,B,261.87,Sold
71,49,1,2024-12-16,C,482.21,Sold
72,22,3,2023-10-27,B,245.52,In Stock
73,66,1,2025-07-26,B,663.29,Sold
74,13,2,2023-04-11,A,293.66,Sold
75,1,3,2025-01-30,A,135.38,In Stock
76,64,3,2025-03-05,B,706.18,In Stock
77,13,1,2024-05-15,B,204.87,Sold
78,51,3,2024-11-04,A,545.13,In Stock
79,21,1,2023-12-09,A,473.34,Sold
80,9,3,2025-06-16,B,242.82,Sold
81,39,1,2023-12-03,D,269.83,Sold
82,39,2,2022-12-10,B,601.18,Sold
83,51,1,2024-09-29,A,575.39,In Stock
84,18,3,2023-07-18,B,424.39,In Stock
85,42,2,2023-06-05,B,694.69,Sold
86,68,2,2025-02-13,A,1102.54,Sold
87,14,2,2023-05-03,C,234.86,Sold
88,50,2,2025-01-21,B,372.52,Sold
89,25,3,2023-07-25,C,250.41,In Stock
90,24,1,2024-09-19,A,322.17,Sold
91,29,3,2023-02-21,C,394.66,Sold
92,21,3,2023-04-21,B,472.21,Sold
93,3,2,2023-10-06,A,223.45,Sold
94,17,1,2025-03-11,B,246.23,Sold
95,35,3,2023-07-22,A,645.41,Sold
96,20,1,2025-02-18,A,314.76,Sold
97,48,3,2024-09-07,B,554.2,Sold
98,69,1,2024-10-27,B,850.53,Sold
99,54,1,2025-07-26,B,537.36,Sold
100,44,1,2024-10-20,A,558.46,Sold
101,55,2,2024-02-11,C,868.66,Sold
102,66,3,2025-02-03,C,594.43,Sold
103,65,1,2024-10-14,A,783.93,Sold
104,18,2,2023-01-21,B,454.29,Sold
105,16,3,2022-11-27,A,391.47,Sold
106,38,1,2024-06-15,A,475.04,Sold
107,49,3,2024-08-04,C,544.65,Sold
108,1,2,2022-11-27,A,217.83,Sold
109,37,2,2023-05-27,B,546.79,Sold
110,3,1,2023-08-08,A,227.45,Sold
111,25,2,2024-10-05,A,273.12,Sold
112,23,1,2025-02-10,C,174.15,Sold
113,17,3,2024-08-07,C,230.76,Sold
114,45,2,2024-06-30,A,720.51,Sold
115,61,3,2025-02-20,B,651.65,Sold
116,9,3,2023-04-17,B,387.69,Sold
117,4,2,2022-09-22,B,288.45,Sold
118,17,2,2025-01-21,C,210.26,Sold
119,24,2,2022-10-11,A,509.41,Sold
120,44,1,2023-01-09,B,907.42,Sold
121,43,2,2023-09-27,B,533.27,Sold
122,5,1,2022-08-17,B,340.06,In Stock
123,26,2,2024-03-08,C,248.32,Sold
124,28,1,2023-08-17,B,394.56,Sold
125,18,2,2024-02-04,C,296.69,Sold
126,27,3,2025-05-31,C,234.04,Sold
127,8,3,2024-06-02,A,285.64,Sold
128,71,3,2025-06-17,B,1013.55,Sold
129,17,3,2025-04-21,A,270.26,Sold
130,38,2,2024-01-13,A,531.14,Sold
131,52,3,2024-10-26,C,386.65,Sold
132,42,1,2024-06-07,A,505.69,Sold
133,49,1,2023-10-14,A,852.86,Sold
134,13,3,2025-02-22,A,191.85,Sold
135,19,2,2025-07-10,B,228.93,Sold
