transaction_id,unit_id,product_id,store_id,transaction_date,age_at_sale_days,final_sale_price,transaction_type
1,,105,4,2020-08-05,,46.8,Sale
2,,99,4,2020-08-05,,46.8,Sale
3,,80,1,2020-08-05,,58.8,Sale
4,,73,2,2020-08-05,,46.8,Sale
5,,106,4,2020-08-06,,58.8,Sale
6,,112,4,2020-08-06,,58.8,Sale
7,,87,4,2020-08-06,,46.8,Sale
8,,85,1,2020-08-07,,46.8,Sale
9,,111,1,2020-08-07,,46.8,Sale
10,,77,1,2020-08-07,,46.8,Sale
11,,108,3,2020-08-07,,58.8,Sale
12,,86,2,2020-08-08,,58.8,Sale
13,,116,2,2020-08-08,,22.8,Sale
14,,105,3,2020-08-08,,46.8,Sale
15,,83,1,2020-08-09,,46.8,Sale
16,,76,1,2020-08-09,,58.8,Sale
17,,81,4,2020-08-10,,46.8,Sale
18,,77,2,2020-08-10,,46.8,Sale
19,,104,3,2020-08-11,,58.8,Sale
20,,110,2,2020-08-11,,58.8,Sale
21,,88,4,2020-08-11,,58.8,Sale
22,,91,4,2020-08-11,,46.8,Sale
23,,117,3,2020-08-11,,22.8,Sale
24,,105,1,2020-08-12,,46.8,Sale
25,,100,2,2020-08-12,,58.8,Sale
26,,108,1,2020-08-12,,58.8,Sale
27,,101,2,2020-08-12,,46.8,Sale
28,,84,4,2020-08-12,,58.8,Sale
29,,94,3,2020-08-12,,58.8,Sale
30,,92,3,2020-08-14,,58.8,Sale
31,,77,3,2020-08-14,,46.8,Sale
32,,106,3,2020-08-15,,58.8,Sale
33,,106,2,2020-08-16,,58.8,Sale
34,,118,4,2020-08-16,,298.8,Sale
35,,79,2,2020-08-17,,46.8,Sale
36,,90,3,2020-08-17,,58.8,Sale
37,,102,2,2020-08-17,,58.8,Sale
38,,77,1,2020-08-18,,46.8,Sale
39,,113,4,2020-08-18,,46.8,Sale
40,,74,2,2020-08-18,,58.8,Sale
41,,116,3,2020-08-18,,22.8,Sale
42,,75,4,2020-08-18,,46.8,Sale
43,,91,4,2020-08-18,,46.8,Sale
44,,75,4,2020-08-18,,46.8,Sale
45,,79,4,2020-08-19,,46.8,Sale
46,,78,4,2020-08-19,,58.8,Sale
47,,90,4,2020-08-19,,58.8,Sale
48,,115,4,2020-08-20,,46.8,Sale
49,,75,3,2020-08-20,,46.8,Sale
50,,116,3,2020-08-20,,22.8,Sale
51,,101,4,2020-08-21,,46.8,Sale
52,,110,4,2020-08-21,,58.8,Sale
53,,74,3,2020-08-22,,58.8,Sale
54,,96,4,2020-08-22,,58.8,Sale
55,,81,2,2020-08-22,,46.8,Sale
